"Activity Type","Transaction Ref ID",Customer/CFA,"Customer/CFA ID","Customer/CFA external ID","Customer/CFA Name","Customer Address",City,"customer subtype",planned(Yes/No),"Customer/CFA Latitude","Customer/CFA Longitude","Visit Date","Visit Time","User BR ID","User Name","User Emp Role ID","user role",reportsToBRID,reportsToName,partner_name,partner_external_id,Purpose,Details,starting_km_reading,ending_km_reading,latitude,longitude,"Activity Address","Distance Travelled (in meters)","Synced On"
"End Day",2546438,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-08,23:30:54,263424,"KS kiran kumar",3747576,"Sales Rep",240518,Bhanuprakash_Adoni,,,"Day Ended","Day Ended",,,15.6293047,77.2723968,,NA,"09 Dec 2025 09:36:20 AM"
"Start Day",2543666,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-08,07:06:33,239830,ESWARAN,3052680,"Sales Rep",239803,"Sowenderrajan L _Tirunelveli",,,"Day Started","Day Started",,,8.9416793,77.3854972,,NA,"09 Dec 2025 09:28:50 AM"
"Start Day",2559180,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-08,10:16:01,279837,"Movva Meghana",,"Sales Rep",240515,"KARRI VINAY KUMAR SO_tenali",,,"Day Started","Day Started",,,17.4371096,78.3675166,,NA,"09 Dec 2025 09:13:29 AM"
"End Day",2546003,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-08,22:21:54,281862,"PRASHANS DILIPBHAI KARABNGIYA",,"Sales Rep",239267,"Ashishkumar B. Bhanderi _Jamnagar",,,"Day Ended","Day Ended",,,21.9611062,69.8105829,,NA,"09 Dec 2025 09:11:35 AM"
"Visit Note",10518094,Customer,12778638,0002007405,"2007405 - SHYAMJI TRADERS","BHARAVAN CHAURAHA, SANDILA,, BHARAVAN, HARDOI, Uttar Pradesh, India, 999999",BHARAVAN,Dealer,No,,,2025-12-08,23:58:25,238124,"Madan Verma_LUCKNOW",A81,"Territory Manager",238114,"Digvijay Singh-East UP",A183-LUCKNOW,A183,"Customer Note","sals discuss",,,26.8916833,81.0168916,"V2R8+MP5, SMR Academy Rd, Takrohi, Kamta, Lucknow, Uttar Pradesh 226028, India",NA,"09 Dec 2025 09:10:54 AM"
"Visit Note",10518093,Customer,12778634,0002005482,"2005482 - SHAKTI PESTICIDE","MAIN ROAD, KAISARGANJ, BAHRAICH, Uttar Pradesh, India, 999999",KAISARGANJ,Dealer,No,,,2025-12-08,23:58:06,238124,"Madan Verma_LUCKNOW",A81,"Territory Manager",238114,"Digvijay Singh-East UP",A183-LUCKNOW,A183,"Customer Note","sals discuss",,,26.8916709,81.0167795,"V2R8+MP5, SMR Academy Rd, Takrohi, Kamta, Lucknow, Uttar Pradesh 226028, India",NA,"09 Dec 2025 09:10:54 AM"
"Start Day",2559019,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-08,08:55:52,281863,NAKUMUMANG,,"Sales Rep",239267,"Ashishkumar B. Bhanderi _Jamnagar",,,"Day Started","Day Started",,,22.4234708,70.0634238,,NA,"09 Dec 2025 09:05:51 AM"
"End Day",2559019,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-08,08:55:47,281863,NAKUMUMANG,,"Sales Rep",239267,"Ashishkumar B. Bhanderi _Jamnagar",,,"Day Ended","Day Ended",,,22.423461,70.0633826,,NA,"09 Dec 2025 09:05:51 AM"
"Start Day",2559019,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-08,08:55:52,281863,NAKUMUMANG,,"Sales Rep",239267,"Ashishkumar B. Bhanderi _Jamnagar",,,"Day Started","Day Started",,,22.423461,70.0633826,,NA,"09 Dec 2025 09:05:51 AM"
"End Day",2545333,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-08,19:56:34,268359,"ISAHAK ALI",3767541,"Sales Rep",241198,"MD HAFIJUR RAHAMAN_MALDA",,,"Day Ended","Day Ended",,,25.7409049,88.1532434,,NA,"09 Dec 2025 08:59:15 AM"
