"Activity Type","Transaction Ref ID",Customer/Plant,"Customer/Plant ID","Customer/Plant external ID","Customer/Plant Name","Customer Address",City,"customer subtype",planned(Yes/No),"Customer/Plant Latitude","Customer/Plant Longitude","Visit Date","Visit Time","User BR ID","User Name","User Emp Role ID","user role",reportsToBRID,reportsToName,partner_name,partner_external_id,Purpose,Details,starting_km_reading,ending_km_reading,latitude,longitude,"Activity Address","Distance Travelled (in meters)","Synced On"
"End Day",2778911,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-29,21:09:02,256235,"Manvendra Chandel",G111179,"Sales Rep",234329,"Direct Reports - Akhilesh Rajput",,,"Day Ended","Day Ended",,,25.2675776,83.0063265,,NA,"30 Dec 2025 09:52:21 AM"
"End Day",2778503,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-29,22:08:26,240273,"CF - Amar Kumar Das",8100379,"Sales Rep",270130,"Girish Rajpurohit",,,"Day Ended","Day Ended",,,20.284295,86.18131,,NA,"30 Dec 2025 09:46:49 AM"
"End Day",2777864,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-29,20:15:41,256239,"Saurav Kumar",F100722,"Sales Rep",253350,"Direct Reports to Sushil Kakkar",,,"Day Ended","Day Ended",,,29.4642217,77.699015,,NA,"30 Dec 2025 09:32:42 AM"
"End Day",2777834,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-29,21:58:05,271936,"Dharanidhar Singh",G114199,"Sales Rep",253350,"Direct Reports to Sushil Kakkar",,,"Day Ended","Day Ended",,,28.7308383,77.8000783,,NA,"30 Dec 2025 09:27:57 AM"
Checkout,71808214,Customer,16778815,"-- --","Shiv agro industries ","shiv agro industries , Ward number 8, J, Tiwari, Jodhpur Division, Rajasthan, India, 342305",Tiwari,Dealer,No,26.546963500000,72.887976200000,2025-12-29,18:21:59,259504,"SHYAM SHARMA",G111792,"Sales Rep",242705,"CF - Gaurav Kulshetra","Ajmer (New) - CF",F144,,,,,26.5469561,72.8879148,"GVWP+PXX, 104, Major District Road, Ward number 8, Tiwari, Rajasthan 342306, India",6.16173,"30 Dec 2025 09:10:06 AM"
"End Day",2789059,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-29,21:18:26,274567,"Sunny Vishal",F100848,"Sales Rep",274566,"CF - Mayank Gaur",,,"Day Ended","Day Ended",,,25.2892616,87.4091953,,NA,"30 Dec 2025 09:02:53 AM"
"End Day",2777034,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-29,22:03:01,279305,"Sajal Karmakar",707116,"Territory Manager",267983,"Ankur Protim Borah",,,"Day Ended","Day Ended",,,24.8111463,92.8051759,,NA,"30 Dec 2025 08:58:48 AM"
"End Day",2776713,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-29,18:28:10,262888,"Sunil Bhamare",701251,"Territory Manager",245476,"PF- Mahesh Kansagra",,,"Day Ended","Day Ended",,,19.874117,75.3684837,,NA,"30 Dec 2025 08:43:11 AM"
Checkout,71807505,Customer,15762307,"-- --","Mahinder Pal And Sons","Kathgarh,  , Kathgarh, Ropar Division, Punjab, India, 144522",Kathgarh,"Cattle - Lead Dealer",No,31.021159300000,76.371466800000,2025-12-29,13:47:45,242792,"CF - Jaswinder Bisht",8106570,"Sales Rep",242679,"Direct Reports CF-Harjeet Singh","F101- Khanna -Main- CF",F101,,,,,31.0211458,76.3714583,"29CC+8GP, Kathgarh, Kishanpur, Punjab 144522, India",1.70347,"30 Dec 2025 08:40:27 AM"
"End Day",2776816,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-29,21:19:07,273648,"Abhishek Shukla",G114504,"Sales Rep",253910,"Dr. Dheeraj Singh.",,,"Day Ended","Day Ended",,,27.0344594,79.9177358,,NA,"30 Dec 2025 08:36:54 AM"
